Time	1	2	3	4	5	6
0	0.02744	0.15498	0.15862	0.40516	0.12256	0.90743
10	0.07111	0.4405	0.13968	0.63059	0.17346	0.86402
20	0.23088	0.4901	0.30821	0.53641	0.40107	0.7942
30	0.26815	0.66677	0.16568	0.51876	0.24883	0.69724
40	0.34416	0.65059	0.25731	0.51106	0.47401	0.70326
50	0.35231	0.66257	0.22301	0.48898	0.24118	0.50582
60	0.35238	0.50303	0.2407	0.55052	0.55107	0.70983
70	0.36861	0.52678	0.23154	0.49277	0.51681	0.63449
80	0.40446	0.60701	0.25173	0.54953	0.41571	0.57041
90	0.46871	0.66932	0.59056	0.47226	0.43344	0.62544
100	0.49225	0.6201	0.46594	0.50234	0.5299	0.54942
110	0.49937	0.58104	0.70168	0.40813	0.58453	0.52782
120	0.50723	0.71655	0.4955	0.38331	0.58901	0.49858
130	0.50898	0.67985	0.39578	0.55935	0.58367	0.46329
140	0.59457	0.60549	0.45046	0.59235	0.50123	0.40602
150	0.708	0.6411	0.89878	0.45213	0.40751	0.24424
160	0.7241	0.73911	0.82247	0.49051	0.33007	0.2545
170	0.72584	0.76654	0.83067	0.42175	0.26109	0.31732
180	0.77766	0.70388	0.84974	0.63326	0.45356	0.20997
190	0.82548	0.74529	0.83764	0.43827	0.45803	0.22467
200	0.83993	0.77257	0.88481	0.59015	0.45153	0.22493
0	0.00165	0.00473	0.2062	0.43598	0.1468	0.8719
10	0.06762	0.36353	0.14024	0.4575	0.34272	0.89382
20	0.09603	0.37277	0.13361	0.37603	0.22444	0.82724
30	0.10104	0.47261	0.14944	0.55186	0.33367	0.85549
40	0.15628	0.42426	0.19809	0.22976	0.27923	0.8085
50	0.15632	0.22261	0.09998	0.46952	0.24177	0.81806
60	0.1587	0.56498	0.18618	0.43373	0.51292	0.71307
70	0.19674	0.45734	0.27639	0.39391	0.48954	0.75085
80	0.20738	0.46939	0.2901	0.3705	0.53847	0.72029
90	0.29013	0.57066	0.29112	0.4961	0.53216	0.60693
100	0.373	0.53492	0.17904	0.49027	0.33496	0.6599
110	0.42108	0.49175	0.31249	0.57456	0.37957	0.53603
120	0.48512	0.63663	0.3867	0.48697	0.5775	0.47336
130	0.50919	0.5301	0.54448	0.58129	0.53999	0.46954
140	0.66917	0.68765	0.8785	0.55093	0.49406	0.33963
150	0.7515	0.69138	0.87517	0.58031	0.41584	0.25468
160	0.78726	0.67705	0.84113	0.58992	0.42689	0.25375
170	0.81026	0.75929	0.7967	0.50735	0.35151	0.1253
180	0.90836	0.61388	0.88608	0.48906	0.31466	0.06243
190	0.94938	0.91849	0.85878	0.40711	0.38459	0.02228
200	0.95087	0.78645	0.89706	0.58556	0.25923	0.18783
0	0.01174	0.17167	0.15141	0.53589	0.40335	0.97456
10	0.0271	0.17966	0.14596	0.51128	0.21657	0.95483
20	0.12136	0.33336	0.21566	0.46295	0.24668	0.80367
30	0.14845	0.30111	0.18694	0.52645	0.46457	0.8461
40	0.1905	0.56354	0.14254	0.54966	0.11631	0.75245
50	0.24599	0.5217	0.20044	0.48188	0.39449	0.82321
60	0.25972	0.58086	0.24647	0.50087	0.56551	0.70105
70	0.27006	0.38538	0.27693	0.47074	0.32349	0.72073
80	0.39104	0.61122	0.26673	0.4281	0.36936	0.51655
90	0.40931	0.52263	0.22256	0.4157	0.43982	0.63408
100	0.41917	0.60165	0.48901	0.44808	0.33889	0.61536
110	0.49339	0.53125	0.5032	0.632	0.4263	0.49908
120	0.61115	0.69306	0.87206	0.58709	0.49287	0.44696
130	0.61677	0.65097	0.86413	0.4083	0.50621	0.4702
140	0.70087	0.68262	0.87328	0.50878	0.56334	0.26702
150	0.78315	0.57759	0.84042	0.36099	0.55188	0.21783
160	0.79959	0.75999	0.88582	0.48709	0.46501	0.23934
170	0.8295	0.79383	0.91073	0.4119	0.58852	0.20787
180	0.85392	0.77774	0.80709	0.4842	0.30949	0.18711
190	0.89087	0.7894	0.85527	0.44735	0.37212	0.13505
200	0.9255	0.6055	0.83094	0.46264	0.14536	0.11585
0	0.01632	0.31029	0.14706	0.61125	0.24822	0.95938
10	0.06057	0.34252	0.18551	0.55261	0.16909	0.90398
20	0.17024	0.35468	0.15343	0.49446	0.5227	0.87151
30	0.17695	0.42849	0.16974	0.60836	0.29314	0.7062
40	0.24481	0.30545	0.2595	0.56439	0.50472	0.74652
50	0.28585	0.55727	0.26503	0.48447	0.51773	0.71707
60	0.36062	0.65738	0.25055	0.52232	0.40848	0.64861
70	0.36636	0.5985	0.26587	0.53916	0.62872	0.61438
80	0.49068	0.63942	0.51703	0.48106	0.49457	0.55279
90	0.5147	0.58959	0.60305	0.40783	0.59942	0.40147
100	0.51795	0.48719	0.51919	0.53016	0.51605	0.60343
110	0.59689	0.68726	0.3878	0.42876	0.47381	0.36324
120	0.61089	0.65516	0.37528	0.45691	0.63042	0.43244
130	0.73741	0.65512	0.86345	0.59855	0.30858	0.3087
140	0.74467	0.80811	0.84199	0.53023	0.38705	0.21116
150	0.77562	0.69485	0.89151	0.47587	0.2885	0.21394
160	0.8106	0.85095	0.84922	0.45143	0.30793	0.18222
170	0.83596	0.76488	0.83535	0.384	0.41602	0.18381
180	0.90009	0.83089	0.88671	0.53867	0.34092	0.11289
190	0.94516	0.75493	0.92598	0.51499	0.3858	0.11924
200	0.94551	0.86397	0.84316	0.51413	0.13985	0.09773
